Hora,Tiempo_operacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros,Toneladas_cargadas,Kms_andados
153,181.24885069437357,196.81102277294025,0.0,0.0,2912.7428543690585,2281.0738692888353
154,182.4197730325384,198.28641095036835,0.0,0.0,2945.455196761436,2294.9029479119495
155,183.19960036804036,200.12401972978984,0.0,0.0,2968.6535331383807,2314.125099875163
156,184.59704279755815,201.32714943273615,0.0,0.0,3009.168314515723,2329.53399023364
157,185.82813326639973,202.97707079858674,0.0,0.0,3019.109583664102,2340.7130546030617
158,187.22479504627876,203.81429435371928,0.0,0.0,3027.7194661771296,2359.617795472811
159,188.3803606154355,205.38568125528275,0.0,0.0,3035.10796134637,2381.57480698307
160,190.00925751004615,205.80150101339217,0.0,0.0,3064.811458272132,2397.7509757618527
161,191.99800827479183,207.2518724728113,0.0,0.0,3090.9898168607997,2408.8059380554887
162,193.15831152397897,208.94597283198078,0.0,0.0,3118.01620476807,2423.7235943413903
163,193.8792860255463,210.37411875204506,0.0,0.0,3138.6978312837346,2437.034980885509
164,194.9438999458015,211.42884966160045,0.0,0.0,3162.5022840201013,2445.20748206105
165,196.09168699007012,212.48779912931826,0.0,0.0,3172.794978319313,2459.314489484613
166,197.446991936425,214.32594026553394,0.0,0.0,3200.6500826923448,2477.13200765012
167,198.48055274262518,215.39981275141824,0.0,0.0,3207.4601325391714,2498.5796552620086
168,199.50586274419302,216.42708572178404,0.0,0.0,3248.294366190775,2512.0734569608735
169,201.43985801627656,217.5297520830444,0.0,0.0,3282.4830396314233,2526.104136623242
170,202.70955342108684,219.48322447908853,0.0,0.0,3317.4770335101434,2537.9565836870684
171,203.87994910832717,221.20711763037266,0.0,0.0,3323.0390907798105,2557.8388056305794
172,204.81803673612305,222.5413853912714,0.0,0.0,3350.9997040581916,2566.581339196113
173,206.11962327628277,223.99417423757643,0.0,0.0,3388.898765414016,2583.44099998153
174,207.4071229333746,225.02382244659273,0.0,0.0,3396.885003166817,2601.8308046873476
175,208.2265095192857,226.68132294673964,0.0,0.0,3438.442833297152,2610.9116947499942
176,209.8955744439939,227.97203446920162,0.0,0.0,3467.7508475814907,2630.9207663331317
177,210.81832782915768,229.56917717655972,0.0,0.0,3477.346433394736,2647.0294022052153
178,212.35971027000048,230.69946472992265,0.0,0.0,3483.5027365428223,2656.401881136881
179,213.6809632345221,232.26626262980074,0.0,0.0,3492.656087785154,2675.0371295745435
180,215.28592289506665,233.980424420081,0.0,0.0,3498.314738717206,2693.461425822745
181,216.1425137289576,235.6376944138648,0.0,0.0,3508.941731744133,2708.285291893219
182,217.3810186265774,236.91111726947477,0.0,0.0,3529.4099868902445,2721.821780004731
183,218.44389087004174,238.04783074127153,0.0,0.0,3535.577645588552,2737.792024294373
184,219.69129386519336,239.99354436608616,0.0,0.0,3545.7479677461083,2749.7373868322165
185,220.70418724969392,241.4383006249805,0.0,0.0,3565.8835021195646,2770.8106989435955
186,222.7219247928883,243.26140741239695,0.0,0.0,3586.7367969301013,2792.5804540411777
187,224.57729284926762,244.53765278467097,0.0,0.0,3595.546755781998,2811.37040118986
188,225.47988729989157,246.24636088946517,0.0,0.0,3604.547781872632,2826.4437942550985
189,227.13091345042608,247.488221817444,0.0,0.0,3640.192433564927,2842.7029152126474
190,227.6646662271038,248.0510909298057,0.0,0.0,3671.626520020268,2863.6718226759513
191,229.02011242858993,249.86351487531738,0.0,0.0,3702.4917425663975,2879.390899736108
192,230.33945351266507,251.6418782026448,0.0,0.0,3730.483587846558,2901.0556866647016
193,230.4849100097573,251.9196237164789,0.0,0.0,3772.0295438525573,2909.33285998161
194,231.0746464376457,253.9192023235073,0.0,0.0,3781.5068986266238,2923.209614674522
195,232.18301339681202,255.62279808957,0.0,0.0,3792.2838446281344,2940.03082718659
196,233.08098306323888,256.9529759843747,0.0,0.0,3820.4539773560737,2951.3073411584933
197,233.90164913973675,258.20396109282854,0.0,0.0,3852.6033327627424,2964.8390593244385
198,235.1077380652004,258.85408999036673,0.0,0.0,3862.4913705634394,2979.0676790686953
199,236.2184667430562,260.16073302773157,0.0,0.0,3904.270989919824,2996.177091190835
200,237.66342201253235,261.12876661452714,0.0,0.0,3914.387952797372,3006.3326799302636
201,238.84997833305601,263.03245804704306,0.0,0.0,3923.7455740690593,3027.846686806247
202,239.80584636288654,264.6552164812487,0.0,0.0,3934.566013064573,3047.490701077817
203,240.76735952283332,266.15155348000343,0.0,0.0,3973.1436527556198,3064.4990669396034
204,242.0393745602065,267.895109079357,0.0,0.0,4011.9388371681584,3084.966032307898
205,243.72499539536733,269.87784489597806,0.0,0.0,4020.6218225250745,3106.185230046733
206,244.0952770280967,270.8976275326911,0.0,0.0,4026.453359012468,3123.91068761932
207,245.32825410633404,271.91435084932357,0.0,0.0,4034.289663669203,3138.5379520278266
208,246.57016197173556,273.17808380312573,0.0,0.0,4070.1847772234787,3148.6967085354
209,247.41038468247837,274.2745996638654,0.0,0.0,4093.2741926706753,3168.9010970180016
210,248.15469964684715,276.0087269177178,0.0,0.0,4103.674817657344,3184.350127197079
211,249.25924367273458,276.61879703734587,0.0,0.0,4143.54633334007,3203.1206273220896
212,249.7827084120553,277.71588249873923,0.0,0.0,4153.013843268348,3223.83690901621
213,251.2123607578236,279.0347783909209,0.0,0.0,4186.176133762288,3237.7226893584566
214,252.27622012703185,280.57193292865406,0.0,0.0,4206.569401228786,3256.553867903128
